"fixed acidity";"volatile acidity";"citric acid";"residual sugar";"chlorides";"free sulfur dioxide";"total sulfur dioxide";"density";"pH";"sulphates";"alcohol";"quality"
9.4;0.27;0.53;2.4;0.074;6;18;0.9962;3.2;1.13;12;7
11.4;0.625;0.66;6.2;0.088;6;24;0.9988;3.11;0.99;13.3;6
8.3;0.42;0.38;2.5;0.094;24;60;0.9979;3.31;0.7;10.8;6
8.3;0.26;0.42;2;0.08;11;27;0.9974;3.21;0.8;9.4;6
13.7;0.415;0.68;2.9;0.085;17;43;1.0014;3.06;0.8;10;6
8.3;0.26;0.42;2;0.08;11;27;0.9974;3.21;0.8;9.4;6
8.3;0.26;0.42;2;0.08;11;27;0.9974;3.21;0.8;9.4;6
7.7;0.51;0.28;2.1;0.087;23;54;0.998;3.42;0.74;9.2;5
7.4;0.63;0.07;2.4;0.09;11;37;0.9979;3.43;0.76;9.7;6
7.8;0.54;0.26;2;0.088;23;48;0.9981;3.41;0.74;9.2;6
8.3;0.66;0.15;1.9;0.079;17;42;0.9972;3.31;0.54;9.6;6
7.8;0.46;0.26;1.9;0.088;23;53;0.9981;3.43;0.74;9.2;6
9.6;0.38;0.31;2.5;0.096;16;49;0.9982;3.19;0.7;10;7
5.6;0.85;0.05;1.4;0.045;12;88;0.9924;3.56;0.82;12.9;8
13.7;0.415;0.68;2.9;0.085;17;43;1.0014;3.06;0.8;10;6
9.5;0.37;0.52;2;0.082;6;26;0.998;3.18;0.51;9.5;5
8.4;0.665;0.61;2;0.112;13;95;0.997;3.16;0.54;9.1;5
9.3;0.27;0.41;2;0.091;6;16;0.998;3.28;0.7;9.7;5
10.4;0.24;0.49;1.8;0.075;6;20;0.9977;3.18;1.06;11;6
9.6;0.68;0.24;2.2;0.087;5;28;0.9988;3.14;0.6;10.2;5
9.4;0.685;0.11;2.7;0.077;6;31;0.9984;3.19;0.7;10.1;6
10.6;0.28;0.39;15.5;0.069;6;23;1.0026;3.12;0.66;9.2;5
9.4;0.3;0.56;2.8;0.08;6;17;0.9964;3.15;0.92;11.7;8
10.6;0.36;0.59;2.2;0.152;6;18;0.9986;3.04;1.05;9.4;5
10.6;0.36;0.6;2.2;0.152;7;18;0.9986;3.04;1.06;9.4;5
10.6;0.44;0.68;4.1;0.114;6;24;0.997;3.06;0.66;13.4;6
10.2;0.67;0.39;1.9;0.054;6;17;0.9976;3.17;0.47;10;5
10.2;0.67;0.39;1.9;0.054;6;17;0.9976;3.17;0.47;10;5
10.2;0.645;0.36;1.8;0.053;5;14;0.9982;3.17;0.42;10;6
11.6;0.32;0.55;2.8;0.081;35;67;1.0002;3.32;0.92;10.8;7
9.3;0.39;0.4;2.6;0.073;10;26;0.9984;3.34;0.75;10.2;6
9.3;0.775;0.27;2.8;0.078;24;56;0.9984;3.31;0.67;10.6;6
9.2;0.41;0.5;2.5;0.055;12;25;0.9952;3.34;0.79;13.3;7
8.9;0.4;0.51;2.6;0.052;13;27;0.995;3.32;0.9;13.4;7
8.7;0.69;0.31;3;0.086;23;81;1.0002;3.48;0.74;11.6;6
6.5;0.39;0.23;8.3;0.051;28;91;0.9952;3.44;0.55;12.1;6
10.7;0.35;0.53;2.6;0.07;5;16;0.9972;3.15;0.65;11;8
7.8;0.52;0.25;1.9;0.081;14;38;0.9984;3.43;0.65;9;6
7.2;0.34;0.32;2.5;0.09;43;113;0.9966;3.32;0.79;11.1;5
10.7;0.35;0.53;2.6;0.07;5;16;0.9972;3.15;0.65;11;8
8.7;0.69;0.31;3;0.086;23;81;1.0002;3.48;0.74;11.6;6
7.8;0.52;0.25;1.9;0.081;14;38;0.9984;3.43;0.65;9;6
10.4;0.44;0.73;6.55;0.074;38;76;0.999;3.17;0.85;12;7
10.4;0.44;0.73;6.55;0.074;38;76;0.999;3.17;0.85;12;7
10.5;0.26;0.47;1.9;0.078;6;24;0.9976;3.18;1.04;10.9;7
10.5;0.24;0.42;1.8;0.077;6;22;0.9976;3.21;1.05;10.8;7
10.2;0.49;0.63;2.9;0.072;10;26;0.9968;3.16;0.78;12.5;7
10.4;0.24;0.46;1.8;0.075;6;21;0.9976;3.25;1.02;10.8;7
11.2;0.67;0.55;2.3;0.084;6;13;1;3.17;0.71;9.5;6
10;0.59;0.31;2.2;0.09;26;62;0.9994;3.18;0.63;10.2;6
13.3;0.29;0.75;2.8;0.084;23;43;0.9986;3.04;0.68;11.4;7
12.4;0.42;0.49;4.6;0.073;19;43;0.9978;3.02;0.61;9.5;5
10;0.59;0.31;2.2;0.09;26;62;0.9994;3.18;0.63;10.2;6
10.7;0.4;0.48;2.1;0.125;15;49;0.998;3.03;0.81;9.7;6
10.5;0.51;0.64;2.4;0.107;6;15;0.9973;3.09;0.66;11.8;7
10.5;0.51;0.64;2.4;0.107;6;15;0.9973;3.09;0.66;11.8;7
8.5;0.655;0.49;6.1;0.122;34;151;1.001;3.31;1.14;9.3;5
12.5;0.6;0.49;4.3;0.1;5;14;1.001;3.25;0.74;11.9;6
10.4;0.61;0.49;2.1;0.2;5;16;0.9994;3.16;0.63;8.4;3
10.9;0.21;0.49;2.8;0.088;11;32;0.9972;3.22;0.68;11.7;6
7.3;0.365;0.49;2.5;0.088;39;106;0.9966;3.36;0.78;11;5
9.8;0.25;0.49;2.7;0.088;15;33;0.9982;3.42;0.9;10;6
7.6;0.41;0.49;2;0.088;16;43;0.998;3.48;0.64;9.1;5
8.2;0.39;0.49;2.3;0.099;47;133;0.9979;3.38;0.99;9.8;5
9.3;0.4;0.49;2.5;0.085;38;142;0.9978;3.22;0.55;9.4;5
9.2;0.43;0.49;2.4;0.086;23;116;0.9976;3.23;0.64;9.5;5
10.4;0.64;0.24;2.8;0.105;29;53;0.9998;3.24;0.67;9.9;5
7.3;0.365;0.49;2.5;0.088;39;106;0.9966;3.36;0.78;11;5
7;0.38;0.49;2.5;0.097;33;85;0.9962;3.39;0.77;11.4;6
8.2;0.42;0.49;2.6;0.084;32;55;0.9988;3.34;0.75;8.7;6
9.9;0.63;0.24;2.4;0.077;6;33;0.9974;3.09;0.57;9.4;5
9.1;0.22;0.24;2.1;0.078;1;28;0.999;3.41;0.87;10.3;6
11.9;0.38;0.49;2.7;0.098;12;42;1.0004;3.16;0.61;10.3;5
11.9;0.38;0.49;2.7;0.098;12;42;1.0004;3.16;0.61;10.3;5
10.3;0.27;0.24;2.1;0.072;15;33;0.9956;3.22;0.66;12.8;6
10;0.48;0.24;2.7;0.102;13;32;1;3.28;0.56;10;6
9.1;0.22;0.24;2.1;0.078;1;28;0.999;3.41;0.87;10.3;6
9.9;0.63;0.24;2.4;0.077;6;33;0.9974;3.09;0.57;9.4;5
8.1;0.825;0.24;2.1;0.084;5;13;0.9972;3.37;0.77;10.7;6
12.9;0.35;0.49;5.8;0.066;5;35;1.0014;3.2;0.66;12;7
11.2;0.5;0.74;5.15;0.1;5;17;0.9996;3.22;0.62;11.2;5
9.2;0.59;0.24;3.3;0.101;20;47;0.9988;3.26;0.67;9.6;5
9.5;0.46;0.49;6.3;0.064;5;17;0.9988;3.21;0.73;11;6
9.3;0.715;0.24;2.1;0.07;5;20;0.9966;3.12;0.59;9.9;5
11.2;0.66;0.24;2.5;0.085;16;53;0.9993;3.06;0.72;11;6
14.3;0.31;0.74;1.8;0.075;6;15;1.0008;2.86;0.79;8.4;6
9.1;0.47;0.49;2.6;0.094;38;106;0.9982;3.08;0.59;9.1;5
7.5;0.55;0.24;2;0.078;10;28;0.9983;3.45;0.78;9.5;6
10.6;0.31;0.49;2.5;0.067;6;21;0.9987;3.26;0.86;10.7;6
12.4;0.35;0.49;2.6;0.079;27;69;0.9994;3.12;0.75;10.4;6
9;0.53;0.49;1.9;0.171;6;25;0.9975;3.27;0.61;9.4;6
6.8;0.51;0.01;2.1;0.074;9;25;0.9958;3.33;0.56;9.5;6
9.4;0.43;0.24;2.8;0.092;14;45;0.998;3.19;0.73;10;6
9.5;0.46;0.24;2.7;0.092;14;44;0.998;3.12;0.74;10;6
5;1.04;0.24;1.6;0.05;32;96;0.9934;3.74;0.62;11.5;5
15.5;0.645;0.49;4.2;0.095;10;23;1.00315;2.92;0.74;11.1;5
15.5;0.645;0.49;4.2;0.095;10;23;1.00315;2.92;0.74;11.1;5
10.9;0.53;0.49;4.6;0.118;10;17;1.0002;3.07;0.56;11.7;6
15.6;0.645;0.49;4.2;0.095;10;23;1.00315;2.92;0.74;11.1;5
10.9;0.53;0.49;4.6;0.118;10;17;1.0002;3.07;0.56;11.7;6
13;0.47;0.49;4.3;0.085;6;47;1.0021;3.3;0.68;12.7;6
